lap,driver,lap_time_sec,fuel_remaining_liters,tyre_age_laps,track_status,pit
1,Alex,137.92,97.4,1,green,false
2,Alex,137.84,94.8,2,green,false
3,Alex,138.08,92.2,3,green,false
4,Alex,138.02,89.6,4,green,false
5,Alex,138.16,87.0,5,green,false
6,Alex,138.11,84.4,6,green,false
7,Alex,138.31,81.8,7,green,false
8,Alex,138.25,79.2,8,green,false
9,Alex,138.39,76.6,9,green,false
10,Alex,138.44,74.0,10,green,false
11,Alex,138.41,71.4,11,green,false
12,Alex,138.59,68.8,12,green,false
13,Alex,138.55,66.2,13,green,false
14,Alex,138.76,63.6,14,green,false
15,Alex,190.20,61.0,15,sc,false
16,Alex,188.40,58.4,16,sc,false
17,Alex,138.82,55.8,17,green,false
18,Alex,138.91,53.2,18,green,false
19,Alex,138.88,50.6,19,green,false
20,Alex,139.06,48.0,20,green,false
21,Alex,139.10,45.4,21,green,false
22,Alex,139.18,42.8,22,green,false
23,Alex,139.26,40.2,23,green,false
24,Alex,139.31,37.6,24,green,false
25,Marco,205.00,100.0,0,green,true
26,Marco,138.51,97.4,1,green,false
27,Marco,138.63,94.8,2,green,false
28,Marco,138.59,92.2,3,green,false
29,Marco,138.77,89.6,4,green,false
30,Marco,138.72,87.0,5,green,false
31,Marco,138.91,84.4,6,green,false
32,Marco,138.88,81.8,7,green,false
33,Marco,139.02,79.2,8,green,false
34,Marco,139.09,76.6,9,green,false
35,Marco,139.13,74.0,10,green,false
36,Marco,139.26,71.4,11,green,false
37,Marco,139.22,68.8,12,green,false
38,Marco,139.42,66.2,13,green,false
39,Marco,139.39,63.6,14,green,false
40,Marco,139.55,61.0,15,green,false
41,Marco,139.61,58.4,16,green,false
42,Marco,139.65,55.8,17,green,false
43,Marco,139.78,53.2,18,green,false
44,Marco,139.74,50.6,19,green,false
45,Marco,139.92,48.0,20,green,false
46,Marco,139.98,45.4,21,green,false
47,Marco,140.03,42.8,22,green,false
48,Marco,140.17,40.2,23,green,false
49,Marco,140.12,37.6,24,green,false
50,Marco,140.31,35.0,25,green,false
